feature,gain,gain_pct,is_energy_feature,gain_pct_within_energy
country,315321.65815146174,66.71758055129884,False,
population_millions,86846.8777368702,18.3755647962984,False,
log_population,15669.876717537642,3.315523165329369,False,
gas_pct,12418.994985976256,2.6276828023816043,True,26.928275702657686
clean_baseload_pct,7504.929125025868,1.587936319902867,True,16.273039874467383
year,6957.870810681023,1.472186557049507,False,
oil_pct,3753.2130736755207,0.7941265342733123,True,8.138142944165846
coal_to_gas_ratio,2918.6927211051807,0.6175538904190612,True,6.3286411158078195
nuclear_pct,2576.908618272282,0.5452372327381793,True,5.587545998025525
coal_oil_pct,2547.3653308739886,0.5389862930840467,True,5.523486886227634
coal_pct,2404.278310088441,0.5087111134751673,True,5.213229353348676
vre_pct,2057.6910920543596,0.4353781848942443,True,4.461719575562482
hydro_pct,1851.9567900579423,0.3918477311154619,True,4.01562309095086
fossil_total_pct,1765.3832597639412,0.3735300027524267,True,3.827904527980043
region,1706.4685926511884,0.36106449666638424,False,
wind_pct,1682.9328655293211,0.3560846713689659,True,3.6491262169935412
other_renewables_pct,1648.3416630448774,0.3487656646389758,True,3.574121642272366
grid_emission_factor,1065.5540983825922,0.22545610031157207,True,2.310455441019544
fossil_to_renew_ratio,658.3016451047733,0.13928727031250596,True,1.4274044087232507
renewables_total_pct,561.5995510034263,0.11882648182589058,True,1.2177239431198805
solar_pct,506.3892997549847,0.10714477747827479,True,1.0980108045841244
low_carbon_pct,196.2578081274405,0.04152536238495346,True,0.42554847409333796
